City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
390,Tonantins,BR,77.95,overcast clouds,-2.8731,-67.8022,Hotel Hortensias
394,Silver City,US,82.69,clear sky,32.7701,-108.2803,Copper Manor Motel
399,Lac Du Bonnet,CA,77.68,overcast clouds,50.2536,-96.0612,Drifter's Inn
400,Acarau,BR,77.65,overcast clouds,-2.8856,-40.12,castelo pizzaria
402,Puerto Ayacucho,VE,78.1,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
410,Basco,PH,84.31,overcast clouds,20.4487,121.9702,
411,Yumen,CN,76.71,clear sky,40.2833,97.2,
412,Amarante Do Maranhao,BR,80.83,clear sky,-5.5667,-46.7422,
417,Tokmak,UA,78.35,light rain,47.2514,35.7058,
418,San Quintin,MX,76.6,overcast clouds,30.4833,-115.95,
421,Georgetown,MY,81.9,few clouds,5.4112,100.3354,
424,Umm Kaddadah,SD,76.66,light rain,13.6017,26.6876,
425,Eureka,US,76.68,few clouds,40.8021,-124.1637,
428,Palmer,US,83.8,broken clouds,42.1584,-72.3287,
429,Vilhena,BR,79.02,clear sky,-12.7406,-60.1458,
432,Veraval,IN,80.85,overcast clouds,20.9,70.3667,Lords Inn Somnath
435,Sinnamary,GF,79.54,scattered clouds,5.3833,-52.95,
437,Giddalur,IN,76.77,overcast clouds,15.35,78.9167,
439,Longhua,CN,76.37,scattered clouds,23.6137,114.1919,
440,Aranda De Duero,ES,75.69,scattered clouds,41.6704,-3.6892,
447,Pau,FR,84.11,clear sky,43.4167,-0.5833,Pelecq Hourdebaigt Jeannine
449,Matara,LK,76.75,overcast clouds,5.9485,80.5353,
452,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,
458,Martapura,ID,77.09,overcast clouds,-3.4167,114.85,
459,Nador,MA,80.85,clear sky,35.174,-2.9287,
461,Polikhronon,GR,77.41,broken clouds,40.0166,23.5283,Haris Hotel
463,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
466,Half Moon Bay,US,84.58,few clouds,37.4636,-122.4286,
468,Fort Wellington,GY,79.79,few clouds,6.4,-57.6,TE'AMO Entertainment Park
469,Coos Bay,US,75.31,mist,43.3665,-124.2179,
475,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,
481,Pitimbu,BR,75.79,broken clouds,-7.4706,-34.8086,
487,Kosai,JP,83.86,overcast clouds,34.7105,137.5316,
491,Norsup,VU,77.11,few clouds,-16.0667,167.3833,Nabelchel Bungalows
493,Salalah,OM,77.09,mist,17.0151,54.0924,
496,San Felipe,VE,77.99,scattered clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
499,Emba,KZ,78.26,broken clouds,48.8264,58.1442,
500,Nago,JP,81.03,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
501,Itaituba,BR,83.5,overcast clouds,-4.2761,-55.9836,
507,Hengshui,CN,75.96,scattered clouds,37.7322,115.7011,Eaka Hotel Hengshui Railway Station Branch
508,Neiafu,TO,75.88,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
511,Lethem,GY,80.2,broken clouds,3.3803,-59.7968,Savannah Inn
512,Lloydminster,CA,82.62,broken clouds,53.2835,-110.0016,BCMInns - Lloydminster
513,Manzanillo,CU,81.91,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
516,Guanare,VE,75.87,broken clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
520,Kalmunai,LK,78.66,overcast clouds,7.4167,81.8167,
522,Hobyo,SO,76.05,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
523,Pa Sang,TH,77.85,moderate rain,18.5262,98.9394,โรงแรม จามจุรี 99
524,Tiznit,MA,75.02,clear sky,29.5833,-9.5,
526,Bandarbeyla,SO,76.62,overcast clouds,9.4942,50.8122,JABIR HOTEL
530,Sao Felix Do Xingu,BR,81.09,clear sky,-6.6447,-51.995,Rio Xingu Camping
533,Nangong,CN,75.42,broken clouds,37.3581,115.3744,7Days Inn Xingtai South Yucai Road
536,Ardesen,TR,77.07,scattered clouds,41.1911,40.9875,
538,Barkhan,PK,78.64,clear sky,29.8977,69.5256,
542,Palaikastron,GR,76.33,clear sky,35.2,26.25,
545,Najran,SA,84.85,overcast clouds,17.4924,44.1277,
547,Uspenka,UA,78.1,overcast clouds,48.3903,39.1619,
550,Muroto,JP,82.69,overcast clouds,33.2833,134.15,
552,Aksu,CN,80.71,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
554,Kangar,MY,78.76,overcast clouds,6.4414,100.1986,Hotel Seri Malaysia Kangar Perlis
559,Kinshasa,CD,75.47,overcast clouds,-4.3246,15.3215,
560,Luganville,VU,77.07,broken clouds,-15.5333,167.1667,
566,Oran,DZ,78.51,scattered clouds,35.6911,-0.6417,The Adress Residence SM
568,Bairiki,KI,84.2,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
582,Lubao,PH,78.51,broken clouds,14.9167,120.55,Hacienda Gracia
586,Thunder Bay,CA,75.11,few clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
589,Lazaro Cardenas,MX,84.24,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
592,Gouyave,GD,84.97,scattered clouds,12.1646,-61.7296,
600,Jabinyanah,TN,84.0,clear sky,35.035,10.9081,maison belmabrouk
601,Eyl,SO,77.58,broken clouds,7.9803,49.8164,Amiin Hotel
604,Bocana De Paiwas,NI,76.28,overcast clouds,12.7857,-85.1227,Guapinol Cabaña Monge
606,Hambantota,LK,78.39,light rain,6.1241,81.1185,
608,Iquitos,PE,77.04,overcast clouds,-3.7481,-73.2472,
611,Puri,IN,81.12,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
613,Tanete,ID,75.43,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
615,Celestun,MX,83.66,few clouds,20.8667,-90.4,
617,Jinan,CN,81.75,broken clouds,36.6683,116.9972,
620,Owase,JP,79.99,light rain,34.0667,136.2,Business Hotel Phoenix
624,Cockburn Town,TC,81.91,few clouds,21.4612,-71.1419,
625,Saint Anthony,US,84.34,few clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
626,Nicoya,CR,76.91,overcast clouds,10.1483,-85.452,
630,Gilgit,PK,80.56,scattered clouds,35.9221,74.3087,Tourist Hamlet Gilgit
631,Almaznyy,RU,78.26,overcast clouds,48.0448,40.045,
632,Monrovia,LR,76.57,overcast clouds,6.3005,-10.7969,
639,Naze,JP,79.72,overcast clouds,28.3667,129.4833,Shishime Hotel
641,Salinopolis,BR,78.8,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
643,El Sauzal,MX,78.42,scattered clouds,31.9,-116.6833,Hotel Las Rosas & Spa
646,Amalapuram,IN,77.5,overcast clouds,16.5833,82.0167,swayamprabha service apartments
647,Pafos,CY,76.78,clear sky,34.7667,32.4167,Elysium Hotel
648,Astoria,US,79.59,clear sky,46.1879,-123.8313,
655,Marzuq,YE,78.85,overcast clouds,14.4,46.4667,
660,Manokwari,ID,80.49,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
662,Macherla,IN,79.99,overcast clouds,16.4833,79.4333,Vivek express
